"Title","Genre","Director","Writer","Actors","Maturity","Duration","Year","Rating","Votes"
"The Godfather","Crime","Francis Ford Coppola","Mario Puzo","Richard S. Castellano","R",175,"1972",9.2,2e+06
"The Gold Rush","Adventure","Charles Chaplin","Charles Chaplin","Tom Murray","Passed",95,"1925",8.1,117000
"The Great Dictator","Comedy","Charles Chaplin","Charles Chaplin","Reginald Gardiner","Passed",125,"1940",8.4,234000
"The Great Escape","Adventure","John Sturges","W.R. Burnett","Steve McQueen","Approved",172,"1963",8.2,255000
"The Green Mile","Crime","Frank Darabont","Frank Darabont","Bonnie Hunt","R",189,"1999",8.6,1400000
"The Handmaiden","Drama","Chan-wook Park","Chan-wook Park","Yong-nyeo Lee","NotRated",145,"2016",8.1,166000
"The Help","Drama","Tate Taylor","Kathryn Stockett","Bryce Dallas Howard","PG-13",146,"2011",8.1,483000
"The Iron Giant","Animation","Brad Bird","Ted Hughes","Vin Diesel","PG",86,"1999",8.1,219000
"The Kid","Comedy","Charles Chaplin","Charles Chaplin","Jackie Coogan","Passed",68,"1921",8.2,132000
"The Lord of the Rings: The Fellowship of the Ring","Action","Peter Jackson","J.R.R. Tolkien","Noel Appleby","PG-13",178,"2001",8.8,2e+06
"The Lord of the Rings: The Return of the King","Action","Peter Jackson","J.R.R. Tolkien","Noel Appleby","PG-13",201,"2003",9,1900000
"The Lord of the Rings: The Two Towers","Action","Peter Jackson","Stephen Sinclair","John Bach","PG-13",179,"2002",8.8,1700000
"The Matrix","Action","Lilly Wachowski","Lilly Wachowski","Laurence Fishburne","R",136,"1999",8.7,2e+06
"The Pianist","Biography","Roman Polanski","Wladyslaw Szpilman","Ed Stoppard","R",150,"2002",8.5,888000
"The Prestige","Drama","Christopher Nolan","Christopher Priest","Hugh Jackman","PG-13",130,"2006",8.5,1400000
"The Shawshank Redemption","Drama","Frank Darabont","Frank Darabont","William Sadler","R",142,"1994",9.3,2800000
"The Shining","Drama","Stanley Kubrick","Diane Johnson","Jack Nicholson","R",146,"1980",8.4,1100000
"The Thing","Horror","Matthijs van Heijningen Jr.","John W. Campbell Jr.","Mary Elizabeth Winstead","R",109,"1982",8.2,455000
"The Truman Show","Comedy","Peter Weir","Andrew Niccol","Jim Carrey","PG",103,"1998",8.2,1200000
"The Usual Suspects","Crime","Bryan Singer","Christopher McQuarrie","Kevin Pollak","R",106,"1995",8.5,1100000
"The Wizard of Oz","Adventure","Victor Fleming","Edgar Allan Woolf","Ray Bolger","PG",102,"1939",8.1,420000
"The Wolf of Wall Street","Biography","Martin Scorsese","Terence Winter","Margot Robbie","R",180,"2013",8.2,1500000
"There Will Be Blood","Drama","Paul Thomas Anderson","Paul Thomas Anderson","Martin Stringer","R",158,"2007",8.2,626000
"Trainspotting","Drama","Danny Boyle","John Hodge","Jonny Lee Miller","R",93,"1996",8.1,714000
"Unforgiven","Drama","Clint Eastwood","David Webb Peoples","Richard Harris","R",130,"1992",8.2,429000
"V for Vendetta","Action","James McTeigue","Lilly Wachowski","Stephen Rea","R",132,"2005",8.2,1200000
"Warrior","Action","Gavin O'Connor","Cliff Dorfman","Jennifer Morrison","PG-13",140,"2011",8.1,491000
