"Title","Duration","Year","Rating","Votes"
"Before Sunrise",101,"1995",8.1,331000
"The Grand Budapest Hotel",99,"2014",8.1,867000
"Ben-Hur",212,"1959",8.1,250000
"The Gold Rush",95,"1925",8.1,117000
"Barry Lyndon",185,"1975",8.1,179000
"Gone Girl",149,"2014",8.1,1e+06
"Hacksaw Ridge",139,"2016",8.1,575000
"In the Name of the Father",133,"1993",8.1,184000
"On the Waterfront",108,"1954",8.1,162000
"Memories of Murder",132,"2003",8.1,207000
"The General",78,"1926",8.1,96000
"The Deer Hunter",183,"1978",8.1,355000
"Wild Tales",122,"2014",8.1,212000
"Wild Strawberries",91,"1957",8.1,113000
"The Third Man",93,"1949",8.1,179000
"Dead Poets Society",128,"1989",8.1,529000
"The Wages of Fear",131,"1953",8.2,65000
"Sherlock Jr.",2700,"1924",8.2,55000
"Mad Max: Fury Road",120,"2015",8.1,1100000
"Monsters, Inc.",92,"2001",8.1,958000
"Mr. Smith Goes to Washington",129,"1939",8.1,120000
"Jaws",124,"1975",8.1,646000
"How to Train Your Dragon",98,"2010",8.1,782000
"Mary and Max",92,"2009",8.1,184000
"Ford v Ferrari",152,"2019",8.1,445000
"The Seventh Seal",96,"1957",8.1,195000
"Room",118,"2015",8.1,442000
"The Big Lebowski",117,"1998",8.1,845000
"Ratatouille",111,"2007",8.1,799000
"Tokyo Story",136,"1953",8.1,67000
"Rocky",120,"1976",8.1,616000
"Hotel Rwanda",121,"2004",8.1,368000
"Logan",137,"2017",8.1,811000
"Spotlight",129,"2015",8.1,493000
"Platoon",120,"1986",8.1,431000
"The Passion of Joan of Arc",114,"1928",8.1,59000
"The Terminator",107,"1984",8.1,907000
"Jai Bhim",164,"2021",8.8,213000
"Before Sunset",80,"2004",8.1,282000
"Rush",123,"2013",8.1,504000
"Network",121,"1976",8.1,167000
"The Best Years of Our Lives",170,"1946",8.1,69000
"The Exorcist",122,"1973",8.1,445000
"Stand by Me",89,"1986",8.1,431000
"La haine",98,"1995",8.1,190000
"Pirates of the Caribbean: The Curse of the Black Pearl",143,"2003",8.1,1200000
"The Wizard of Oz",102,"1939",8.1,420000
"The Incredibles",115,"2004",8,787000
"Into the Wild",148,"2007",8.1,647000
"Hachi: A Dog's Tale",93,"2009",8.1,304000
"To Be or Not to Be",99,"1942",8.2,42000
"The Handmaiden",145,"2016",8.1,166000
"My Father and My Son",112,"2005",8.2,91000
"The Battle of Algiers",121,"1966",8.1,64000
"Groundhog Day",101,"1993",8,668000
"The Grapes of Wrath",129,"1940",8.1,98000
"Amores Perros",154,"2000",8.1,250000
"The Sound of Music",172,"1965",8.1,252000
"Rebecca",130,"1940",8.1,144000
"Cool Hand Luke",127,"1967",8.1,186000
"The Iron Giant",86,"1999",8.1,219000
"Pather Panchali",125,"1955",8.2,37000
"The Help",146,"2011",8.1,483000
"It Happened One Night",105,"1934",8.1,110000
"The 400 Blows",99,"1959",8.1,126000
"Aladdin",90,"1992",8,454000
"Dances with Wolves",181,"1990",8,284000
"Life of Brian",94,"1979",8,417000
